,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,TotalSF,SaleCondition,SalePrice
0,606,60,0,85.0,13600,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1965,1990,0,0,0,0,0,176.0,0,0,0,0,0,0,0,454,0,0,314,0,0,0,0,0,1986,0,0,2,1,3,1,0,7,0,3,0,0,1965.0,0,2,486,0,0,0,0,42,0,0,189,0,0,0,0,0,10,2009,0,2754,0,205000
1,643,80,0,75.0,13860,0,0,0,0,0,0,0,0,0,0,0,1,8,7,1972,1995,0,0,1,1,1,0.0,1,0,0,1,0,1,1,1410,0,0,542,0,1,0,0,0,2704,1,0,2,1,4,1,1,9,0,3,1,0,1972.0,1,2,538,0,0,0,269,111,0,0,0,0,0,1,0,0,7,2009,0,4656,0,345000
2,994,60,0,68.0,8846,0,0,0,0,0,0,0,1,0,0,0,0,6,5,2005,2006,0,0,2,2,1,0.0,0,0,1,1,0,0,2,0,0,0,750,0,2,0,0,0,1500,0,0,2,1,3,1,2,6,0,0,2,0,2005.0,2,2,564,0,0,0,0,35,0,0,0,0,0,0,0,0,8,2006,1,2250,1,173900
3,737,90,0,60.0,8544,0,0,0,0,0,0,0,0,0,0,1,2,3,4,1950,1950,0,0,3,3,1,0.0,0,0,0,2,1,2,3,0,1,0,0,0,1,1,1,0,1040,0,0,2,0,2,2,0,6,0,0,2,1,1949.0,0,2,400,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2006,0,1040,0,93500
4,1240,20,0,64.0,9037,0,0,1,1,0,0,0,2,0,0,0,2,8,5,2006,2006,1,0,2,2,0,32.0,1,0,1,1,0,3,1,428,0,0,1048,0,2,0,0,0,1484,0,0,2,0,2,1,1,6,0,1,3,0,2006.0,2,2,472,0,0,0,120,33,0,0,0,0,0,0,0,0,12,2007,0,2960,0,265900
5,436,60,0,43.0,10667,0,0,2,0,0,1,0,1,1,0,0,0,7,6,1996,1996,0,0,2,2,1,0.0,1,0,1,1,0,3,1,385,2,344,70,0,2,0,0,0,1661,1,0,2,1,3,1,2,6,0,1,1,0,1996.0,2,2,550,0,0,0,158,61,0,0,0,0,0,0,0,0,4,2009,2,2460,0,212000
6,685,60,0,58.0,16770,0,0,2,0,0,1,0,3,0,0,0,0,7,5,1998,1998,0,0,2,2,0,30.0,1,0,1,1,0,0,2,0,0,0,1195,0,1,0,0,0,1839,0,0,2,1,4,1,0,7,0,0,2,0,1998.0,1,2,486,0,0,0,0,81,0,0,0,0,0,0,0,0,6,2010,0,3034,0,221000
7,1136,30,1,60.0,6180,0,0,0,0,0,2,0,4,0,0,0,2,6,5,1926,1950,0,0,4,1,1,0.0,0,0,2,0,0,0,2,0,0,0,960,0,0,1,0,0,986,0,0,1,0,2,1,0,5,0,1,3,1,1926.0,0,1,180,0,0,0,0,128,0,0,0,0,0,0,0,0,5,2007,0,1946,0,102000
8,273,60,0,92.0,11764,0,0,1,0,0,1,0,3,0,0,0,0,8,7,1999,2007,0,0,2,2,0,348.0,1,0,1,1,0,0,1,524,0,0,628,0,2,0,0,0,2270,0,0,2,1,4,1,2,9,0,1,3,0,1999.0,1,3,671,0,0,0,132,57,0,0,0,0,0,0,0,0,4,2010,0,3422,0,290000
9,1298,180,1,35.0,3675,0,0,0,0,0,0,0,5,0,0,2,3,6,5,2005,2006,0,0,2,2,0,82.0,0,0,1,1,0,1,1,547,0,0,0,0,1,0,0,0,1072,1,0,2,0,2,1,0,5,0,0,2,2,2005.0,1,2,525,0,0,0,0,44,0,0,0,0,0,0,0,0,6,2006,1,1619,1,140000
10,412,190,0,100.0,34650,0,0,0,2,0,0,0,6,0,0,3,2,5,5,1955,1955,1,0,4,1,1,0.0,0,0,0,0,0,4,4,1056,0,0,0,0,0,1,0,0,1056,1,0,1,0,3,1,0,5,0,0,2,0,1955.0,1,2,572,0,0,0,264,0,0,0,0,0,0,0,0,0,1,2006,0,2112,0,145000
11,1074,60,0,75.0,7950,0,0,1,2,0,2,0,5,0,0,0,0,6,6,1977,1977,1,0,0,4,0,140.0,0,0,0,0,0,0,0,535,0,0,155,0,0,0,0,0,1426,0,0,1,1,3,1,0,6,0,0,2,0,1977.0,1,2,440,0,0,0,252,0,0,0,0,0,0,1,0,0,7,2009,0,2116,0,159500
12,1428,50,0,60.0,10930,0,1,0,2,0,0,0,0,2,0,0,4,5,6,1945,1950,0,0,5,5,1,0.0,0,0,0,0,0,0,0,580,0,0,333,0,0,0,2,0,1558,1,0,1,1,3,1,0,6,0,1,1,0,1962.0,0,1,288,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2008,0,2471,0,140000
13,1146,50,1,52.0,6240,0,0,0,0,0,0,0,4,0,0,0,4,5,6,1928,1950,0,0,5,5,1,0.0,0,0,2,0,0,0,2,0,0,0,1042,0,2,0,0,0,1576,0,0,1,0,3,1,0,8,0,1,3,1,1928.0,0,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2006,0,2618,2,149000
14,919,60,0,103.0,13125,0,0,1,0,0,2,0,7,0,0,0,0,7,5,1991,1991,0,0,0,0,1,0.0,1,0,1,3,0,4,0,48,3,634,422,0,2,0,0,0,2127,1,0,2,1,4,1,2,8,0,1,1,0,1991.0,2,3,833,0,0,0,72,192,224,0,0,0,0,2,0,0,11,2007,0,3231,0,238000
15,35,120,0,60.0,7313,0,0,0,0,0,0,0,8,0,0,2,2,9,5,2005,2005,1,0,5,5,0,246.0,2,0,1,3,0,0,1,1153,0,0,408,0,2,0,0,0,1561,1,0,2,0,2,1,1,6,0,1,3,0,2005.0,1,2,556,0,0,0,203,47,0,0,0,0,0,0,0,0,8,2007,0,3122,0,277500
